Cell ID,Cell Type,downNodeId,RegionSize,RegionSpan,SegmentationId,upNodeId
0,3,86,0,0.668089,0,195
1,3,48,0,1.58104,1,137
2,3,10,0,1.12734,2,178
3,3,61,0,0.853653,3,124
4,3,36,0,1.93522,4,104
5,3,9,0,1.02374,5,101
6,3,11,0,1.23326,6,100
7,3,50,0,1.15559,7,100
8,3,100,0,0.00659868,106,107
9,3,79,0,2.0026,8,121
10,3,19,0,1.75078,9,120
11,3,34,0,1.97962,10,188
12,3,1,0,0.152505,11,105
13,3,46,0,1.88723,12,152
14,3,97,0,1.47294,13,192
15,3,44,0,0.328062,14,116
16,3,17,0,0.904755,15,138
17,3,49,0,1.51286,16,110
18,3,78,0,0.732764,17,156
19,3,18,0,1.73448,18,141
20,3,72,0,1.65313,19,142
21,3,41,0,1.9923,20,166
22,3,53,0,1.37802,21,128
23,3,89,0,0.924566,22,102
24,3,40,0,1.83171,23,117
25,3,71,0,0.741683,24,172
26,3,84,0,1.83781,25,193
27,3,58,0,1.18214,26,111
28,3,21,0,0.998028,27,101
29,3,101,0,0.0846635,105,102
30,3,102,0,1.15332,121,103
31,3,4,0,0.538552,28,114
32,3,87,0,1.7486,29,140
33,3,28,0,1.99888,30,139
34,3,63,0,1.80688,31,103
35,3,103,0,1.77433,129,106
36,3,16,0,1.63078,32,181
37,3,92,0,1.74576,33,143
38,3,98,0,2.00212,34,109
39,3,82,0,1.29524,35,112
40,3,81,0,1.68983,36,180
41,3,43,0,1.99831,37,108
42,3,66,0,1.88068,38,150
43,3,0,0,0,39,0
44,3,24,0,1.93137,40,158
45,3,30,0,1.78241,41,170
46,3,83,0,1.96211,42,104
47,3,104,0,0.0406188,104,177
48,3,77,0,1.49464,43,147
49,3,55,0,1.67232,44,182
50,3,80,0,0.515457,45,145
51,3,45,0,0.104551,46,105
52,3,105,0,0.109553,110,106
53,3,106,1,1.06324,182,107
54,3,107,0,1.99899,179,113
55,3,39,0,1.88267,47,151
56,3,51,0,1.45249,48,129
57,3,32,0,1.99633,49,108
58,3,108,0,0.0691143,135,109
59,3,109,1,0.0412108,132,125
60,3,70,0,0.297693,50,115
61,3,62,0,1.93773,51,122
62,3,99,0,1.59135,52,110
63,3,110,0,0.0562109,115,185
64,3,8,0,0.986302,53,123
65,3,64,0,1.1941,54,111
66,3,111,0,1.69599,125,154
67,3,12,0,1.31852,55,179
68,3,37,0,1.67777,56,183
69,3,90,0,1.66001,57,186
70,3,13,0,1.42107,58,112
71,3,112,0,1.52591,133,133
72,3,38,1,1.33855,59,190
73,3,88,0,1.72866,60,113
74,3,113,0,1.86545,151,114
75,3,114,0,1.97185,126,118
76,3,95,0,1.46955,61,135
77,3,3,0,0.45491,62,115
78,3,115,0,0.0323481,144,116
79,3,116,1,0.0571125,113,168
80,3,94,0,1.88184,63,117
81,3,117,0,0.0558715,122,118
82,3,118,0,0.535842,188,126
83,3,75,0,0.941319,64,163
84,3,23,0,1.90897,65,148
85,3,35,0,1.9554,66,119
86,3,73,0,1.97355,67,119
87,3,119,0,1.35643,155,120
88,3,120,0,0.0622063,108,127
89,3,31,0,1.99892,68,121
90,3,121,0,0.49623,107,132
91,3,59,0,1.11187,69,194
92,3,25,0,1.95891,70,122
93,3,122,0,1.88534,145,134
94,3,76,0,0.836298,71,123
95,3,123,0,0.019032,146,124
96,3,124,0,0.648927,103,136
97,3,96,0,0.384858,72,176
98,3,54,0,2.00331,73,167
99,3,15,0,1.53378,74,197
100,3,65,0,2.0006,75,125
101,3,125,0,0.0311368,160,159
102,3,47,0,1.59391,76,126
103,3,126,0,0.0199255,161,157
104,3,26,0,1.97508,77,131
105,3,33,0,1.89427,78,149
106,3,67,0,0.307677,79,174
107,3,6,0,0.809394,80,187
108,3,85,0,1.69898,81,127
109,3,127,0,0.0739085,166,171
110,3,68,0,1.40476,82,128
111,3,128,0,0.716964,120,175
112,3,93,0,1.50711,83,130
113,3,29,0,2.00397,84,196
114,3,74,0,1.49121,85,129
115,3,129,0,0.0239411,143,130
116,3,130,0,1.87255,167,146
117,3,27,0,1.99316,86,161
118,3,91,0,1.82696,87,184
119,3,60,0,1.95934,88,131
120,3,131,0,0.0367593,162,132
121,3,132,0,0.499855,180,133
122,3,133,0,0.48049,192,160
123,3,2,0,0.336602,89,134
124,3,134,0,0.239591,171,162
125,3,52,0,1.39485,90,135
126,3,135,0,1.8591,152,144
127,3,57,0,1.76734,91,191
128,3,14,0,1.47572,92,136
129,3,136,0,1.98515,173,137
130,3,137,0,1.94467,101,138
131,3,138,0,1.73557,114,139
132,3,139,0,1.03783,128,165
133,3,56,0,1.23876,93,164
134,3,20,0,1.82371,94,140
135,3,140,0,0.199981,127,141
136,3,141,0,0.0187941,117,142
137,3,142,0,0.224725,118,143
138,3,143,0,0.20494,131,169
139,3,22,0,1.87933,95,144
140,3,144,0,0.992812,175,155
141,3,5,0,0.689469,96,145
142,3,145,0,0.996049,141,189
143,3,7,0,0.907947,97,146
144,3,146,0,1.87943,176,147
145,3,147,0,1.78679,139,148
146,3,148,0,0.0225414,154,149
147,3,149,0,0.0411008,163,150
148,3,150,0,1.42342,136,153
149,3,69,0,1.20066,98,173
150,3,42,0,1.88511,99,151
151,3,151,0,0.00774646,142,152
152,3,152,0,0.244527,111,153
153,3,153,0,1.99549,183,154
154,3,154,0,1.9318,189,155
155,3,155,0,1.92521,196,156
156,3,156,0,1.94582,116,157
157,3,157,0,1.6151,186,158
158,3,158,0,0.697921,137,159
159,3,159,2,0.511829,193,160
160,3,160,0,0.147924,197,161
161,3,161,0,1.87901,169,162
162,3,162,0,0.585999,195,163
163,3,163,0,1.84453,153,164
164,3,164,1,1.99976,174,165
165,3,165,2,1.00036,190,166
166,3,166,1,0.276567,119,167
167,3,167,0,1.97605,158,168
168,3,168,0,1.47654,184,169
169,3,169,0,0.128064,191,170
170,3,170,4,0.104467,138,171
171,3,171,1,1.15839,194,172
172,3,172,1,1.7012,123,173
173,3,173,2,1.40583,177,174
174,3,174,0,1.04632,164,175
175,3,175,2,1.17557,187,176
176,3,176,0,1.99974,157,177
177,3,177,0,1.89823,178,178
178,3,178,0,0.246963,102,179
179,3,179,4,1.99621,147,180
180,3,180,3,1.91076,134,181
181,3,181,3,1.90096,130,182
182,3,182,1,1.85447,140,183
183,3,183,12,1.7556,148,184
184,3,184,1,0.421096,170,185
185,3,185,1,0.0833383,185,186
186,3,186,10,1.9169,149,187
187,3,187,2,1.95197,165,188
188,3,188,4,1.86589,109,189
189,3,189,1,1.62168,181,190
190,3,190,6,0.729303,150,191
191,3,191,0,1.92111,172,192
192,3,192,0,1.84501,112,193
193,3,193,39,1.95826,124,194
194,3,194,10,0.562163,156,195
195,3,195,6,1.94172,100,196
196,3,196,121,1.28633,168,197
197,3,197,4607,2.02527,159,198
